place,product,date,competitors_mean_price
Анор Лондо,Целебные травы,2216-10-30,5.4
Анор Лондо,Целебные травы,2216-10-31,5.24
Анор Лондо,Целебные травы,2216-11-01,5.11
Анор Лондо,Целебные травы,2216-11-02,5.24
Анор Лондо,Целебные травы,2216-11-03,5.57
Анор Лондо,Целебные травы,2216-11-04,6.47
Анор Лондо,Целебные травы,2216-11-05,5.31
Анор Лондо,Целебные травы,2216-11-06,5.31
Анор Лондо,Целебные травы,2216-11-07,5.7
Анор Лондо,Целебные травы,2216-11-08,6.02
Анор Лондо,Целебные травы,2216-11-09,5.42
Анор Лондо,Целебные травы,2216-11-10,5.35
Анор Лондо,Целебные травы,2216-11-11,7.06
Анор Лондо,Целебные травы,2216-11-12,6.04
Анор Лондо,Целебные травы,2216-11-13,5.52
Анор Лондо,Целебные травы,2216-11-14,6.02
Анор Лондо,Целебные травы,2216-11-15,4.99
Анор Лондо,Целебные травы,2216-11-16,4.99
Анор Лондо,Целебные травы,2216-11-17,5.82
Анор Лондо,Целебные травы,2216-11-18,5.42
Анор Лондо,Целебные травы,2216-11-19,5.76
Анор Лондо,Целебные травы,2216-11-20,6.13
Анор Лондо,Целебные травы,2216-11-21,5.16
Анор Лондо,Целебные травы,2216-11-22,5.32
Анор Лондо,Целебные травы,2216-11-23,6.39
Анор Лондо,Целебные травы,2216-11-24,6.39
Анор Лондо,Целебные травы,2216-11-25,5.53
Анор Лондо,Целебные травы,2216-11-26,6.13
Анор Лондо,Целебные травы,2216-11-27,7.35
Анор Лондо,Целебные травы,2216-11-28,5.32
Анор Лондо,Целебные травы,2216-11-29,5.42
Анор Лондо,Целебные травы,2216-11-30,5.88
Анор Лондо,Целебные травы,2216-12-01,5.53
Анор Лондо,Целебные травы,2216-12-02,5.26
Анор Лондо,Целебные травы,2216-12-03,6.3
Анор Лондо,Целебные травы,2216-12-04,6.13
Анор Лондо,Целебные травы,2216-12-05,6.08
Анор Лондо,Целебные травы,2216-12-06,5.26
Анор Лондо,Целебные травы,2216-12-07,5.26
Анор Лондо,Целебные травы,2216-12-08,5.64
Анор Лондо,Целебные травы,2216-12-09,5.02
Анор Лондо,Целебные травы,2216-12-10,7.72
Анор Лондо,Целебные травы,2216-12-11,5.37
Анор Лондо,Целебные травы,2216-12-12,5.37
Анор Лондо,Целебные травы,2216-12-13,5.19
Анор Лондо,Целебные травы,2216-12-14,6.54
Анор Лондо,Целебные травы,2216-12-15,6.6
Анор Лондо,Целебные травы,2216-12-16,5.49
Анор Лондо,Целебные травы,2216-12-17,6.19
Анор Лондо,Целебные травы,2216-12-18,6.19
Анор Лондо,Целебные травы,2216-12-19,6.19
Анор Лондо,Целебные травы,2216-12-20,6.43
Анор Лондо,Целебные травы,2216-12-21,5.43
Анор Лондо,Целебные травы,2216-12-22,5.43
Анор Лондо,Целебные травы,2216-12-23,5.02
Анор Лондо,Целебные травы,2216-12-24,6.48
Анор Лондо,Целебные травы,2216-12-25,5.84
Анор Лондо,Целебные травы,2216-12-26,5.37
Анор Лондо,Целебные травы,2216-12-27,6.08
Анор Лондо,Целебные травы,2216-12-28,5.43
Анор Лондо,Целебные травы,2216-12-29,5.39
Анор Лондо,Целебные травы,2216-12-30,5.64
Анор Лондо,Целебные травы,2216-12-31,5.39
Анор Лондо,Целебные травы,2217-01-01,5.39
Анор Лондо,Целебные травы,2217-01-02,5.64
Анор Лондо,Целебные травы,2217-01-03,6.48
Анор Лондо,Целебные травы,2217-01-04,5.59
Анор Лондо,Целебные травы,2217-01-05,5.59
Анор Лондо,Целебные травы,2217-01-06,5.49
Анор Лондо,Целебные травы,2217-01-07,5.39
Анор Лондо,Целебные травы,2217-01-08,6.25
Анор Лондо,Целебные травы,2217-01-09,5.73
Анор Лондо,Целебные травы,2217-01-10,5.9
Анор Лондо,Целебные травы,2217-01-11,5.73
Анор Лондо,Целебные травы,2217-01-12,6.37
Анор Лондо,Целебные травы,2217-01-13,5.58
Анор Лондо,Целебные травы,2217-01-14,6.37
Анор Лондо,Целебные травы,2217-01-15,5.58
Анор Лондо,Целебные травы,2217-01-16,5.82
Анор Лондо,Целебные травы,2217-01-17,6.42
Анор Лондо,Целебные травы,2217-01-18,6.6
Анор Лондо,Целебные травы,2217-01-19,5.65
Анор Лондо,Целебные травы,2217-01-20,5.58
Анор Лондо,Целебные травы,2217-01-21,5.82
Анор Лондо,Целебные травы,2217-01-22,6.78
Анор Лондо,Целебные травы,2217-01-23,6.91
Анор Лондо,Целебные травы,2217-01-24,6.52
Анор Лондо,Целебные травы,2217-01-25,6.56
Анор Лондо,Целебные травы,2217-01-26,6.31
Анор Лондо,Целебные травы,2217-01-27,6.84
Анор Лондо,Целебные травы,2217-01-28,5.58
Анор Лондо,Целебные травы,2217-01-29,5.78
Анор Лондо,Целебные травы,2217-01-30,5.78
Анор Лондо,Целебные травы,2217-01-31,6.4
Анор Лондо,Целебные травы,2217-02-01,6.84
Анор Лондо,Целебные травы,2217-02-02,5.61
Анор Лондо,Целебные травы,2217-02-03,5.61
Анор Лондо,Целебные травы,2217-02-04,6.26
Анор Лондо,Целебные травы,2217-02-05,5.68
Анор Лондо,Целебные травы,2217-02-06,5.74
Анор Лондо,Целебные травы,2217-02-07,6.34
Анор Лондо,Целебные травы,2217-02-08,5.85
Анор Лондо,Целебные травы,2217-02-09,6.89
Анор Лондо,Целебные травы,2217-02-10,6.54
Анор Лондо,Целебные травы,2217-02-11,5.38
Анор Лондо,Целебные травы,2217-02-12,6.34
Анор Лондо,Целебные травы,2217-02-13,5.65
Анор Лондо,Целебные травы,2217-02-14,6.3
Анор Лондо,Целебные травы,2217-02-15,5.38
Анор Лондо,Целебные травы,2217-02-16,6.61
Анор Лондо,Целебные травы,2217-02-17,5.76
Анор Лондо,Целебные травы,2217-02-18,5.65
Анор Лондо,Целебные травы,2217-02-19,5.93
Анор Лондо,Целебные травы,2217-02-20,5.73
Анор Лондо,Целебные травы,2217-02-21,6.65
Анор Лондо,Целебные травы,2217-02-22,5.93
Анор Лондо,Целебные травы,2217-02-23,6.53
Анор Лондо,Целебные травы,2217-02-24,6.53
Анор Лондо,Целебные травы,2217-02-25,6.92
Анор Лондо,Целебные травы,2217-02-26,6.92
Анор Лондо,Целебные травы,2217-02-27,6.3
Анор Лондо,Целебные травы,2217-02-28,6.49
Анор Лондо,Целебные травы,2217-03-01,5.68
Анор Лондо,Целебные травы,2217-03-02,6.28
Анор Лондо,Целебные травы,2217-03-03,6.46
Анор Лондо,Целебные травы,2217-03-04,6.86
Анор Лондо,Целебные травы,2217-03-05,6.51
Анор Лондо,Целебные травы,2217-03-06,6.72
Анор Лондо,Целебные травы,2217-03-07,5.72
Анор Лондо,Целебные травы,2217-03-08,7.82
Анор Лондо,Целебные травы,2217-03-09,5.61
Анор Лондо,Целебные травы,2217-03-10,5.72
Анор Лондо,Целебные травы,2217-03-11,5.63
Анор Лондо,Целебные травы,2217-03-12,6.72
Анор Лондо,Целебные травы,2217-03-13,6.21
Анор Лондо,Целебные травы,2217-03-14,5.7
Анор Лондо,Целебные травы,2217-03-15,5.68
Анор Лондо,Целебные травы,2217-03-16,5.8
Анор Лондо,Целебные травы,2217-03-17,5.8
Анор Лондо,Целебные травы,2217-03-18,6.81
Анор Лондо,Целебные травы,2217-03-19,7.82
Анор Лондо,Целебные травы,2217-03-20,5.61
Анор Лондо,Целебные травы,2217-03-21,6.21
Анор Лондо,Целебные травы,2217-03-22,6.71
Анор Лондо,Целебные травы,2217-03-23,6.71
Анор Лондо,Целебные травы,2217-03-24,6.54
Анор Лондо,Целебные травы,2217-03-25,5.56
Анор Лондо,Целебные травы,2217-03-26,5.85
Анор Лондо,Целебные травы,2217-03-27,6.37
Анор Лондо,Целебные травы,2217-03-28,6.24
Анор Лондо,Целебные травы,2217-03-29,5.72
Анор Лондо,Целебные травы,2217-03-30,5.94
Анор Лондо,Целебные травы,2217-03-31,6.54
Анор Лондо,Целебные травы,2217-04-01,5.72
Анор Лондо,Целебные травы,2217-04-02,6.03
Анор Лондо,Целебные травы,2217-04-03,6.54
Анор Лондо,Целебные травы,2217-04-04,5.56
Анор Лондо,Целебные травы,2217-04-05,6.52
Анор Лондо,Целебные травы,2217-04-06,5.72
Анор Лондо,Целебные травы,2217-04-07,6.66
Анор Лондо,Целебные травы,2217-04-08,6.76
Анор Лондо,Целебные травы,2217-04-09,5.78
Анор Лондо,Целебные травы,2217-04-10,6.45
Анор Лондо,Целебные травы,2217-04-11,6.66
Анор Лондо,Целебные травы,2217-04-12,5.76
Анор Лондо,Целебные травы,2217-04-13,5.98
Анор Лондо,Целебные травы,2217-04-14,6.45
Анор Лондо,Целебные травы,2217-04-15,5.74
Анор Лондо,Целебные травы,2217-04-16,6.33
Анор Лондо,Целебные травы,2217-04-17,6.53
Анор Лондо,Целебные травы,2217-04-18,6.53
Анор Лондо,Целебные травы,2217-04-19,6.29
Анор Лондо,Целебные травы,2217-04-20,6.29
Анор Лондо,Целебные травы,2217-04-21,6.53
Анор Лондо,Целебные травы,2217-04-22,6.81
Анор Лондо,Целебные травы,2217-04-23,7.04
Анор Лондо,Целебные травы,2217-04-24,8.17
Анор Лондо,Целебные травы,2217-04-25,5.85
Анор Лондо,Целебные травы,2217-04-26,5.98
Анор Лондо,Целебные травы,2217-04-27,7.08
Анор Лондо,Целебные травы,2217-04-28,5.98
Анор Лондо,Целебные травы,2217-04-29,5.78
Анор Лондо,Целебные травы,2217-04-30,5.78
Анор Лондо,Целебные травы,2217-05-01,5.98
Анор Лондо,Целебные травы,2217-05-02,5.98
Анор Лондо,Целебные травы,2217-05-03,5.98
Анор Лондо,Целебные травы,2217-05-04,7.08
Анор Лондо,Целебные травы,2217-05-05,5.57
Анор Лондо,Целебные травы,2217-05-06,6.58
Анор Лондо,Целебные травы,2217-05-07,6.87
Анор Лондо,Целебные травы,2217-05-08,6.36
Анор Лондо,Целебные травы,2217-05-09,7.08
Анор Лондо,Целебные травы,2217-05-10,5.64
Анор Лондо,Целебные травы,2217-05-11,6.56
Анор Лондо,Целебные травы,2217-05-12,5.76
Анор Лондо,Целебные травы,2217-05-13,5.85
Анор Лондо,Целебные травы,2217-05-14,5.64
Анор Лондо,Целебные травы,2217-05-15,5.71
Анор Лондо,Целебные травы,2217-05-16,7.05
Анор Лондо,Целебные травы,2217-05-17,6.46
Анор Лондо,Целебные травы,2217-05-18,5.93
Анор Лондо,Целебные травы,2217-05-19,6.48
Анор Лондо,Целебные травы,2217-05-20,5.76
Анор Лондо,Целебные травы,2217-05-21,5.66
Анор Лондо,Целебные травы,2217-05-22,6.73
Анор Лондо,Целебные травы,2217-05-23,6.73
Анор Лондо,Целебные травы,2217-05-24,6.14
Анор Лондо,Целебные травы,2217-05-25,5.85
Анор Лондо,Целебные травы,2217-05-26,7.31
Анор Лондо,Целебные травы,2217-05-27,6.51
Анор Лондо,Целебные травы,2217-05-28,6.7
Анор Лондо,Целебные травы,2217-05-29,6.7
Анор Лондо,Целебные травы,2217-05-30,6.7
Анор Лондо,Целебные травы,2217-05-31,5.85
Анор Лондо,Целебные травы,2217-06-01,6.81
Анор Лондо,Целебные травы,2217-06-02,7.58
Анор Лондо,Целебные травы,2217-06-03,6.55
Анор Лондо,Целебные травы,2217-06-04,6.97
Анор Лондо,Целебные травы,2217-06-05,6.97
Анор Лондо,Целебные травы,2217-06-06,7.58
Анор Лондо,Целебные травы,2217-06-07,6.54
Анор Лондо,Целебные травы,2217-06-08,6.81
Анор Лондо,Целебные травы,2217-06-09,6.54
Анор Лондо,Целебные травы,2217-06-10,6.54
Анор Лондо,Целебные травы,2217-06-11,6.81
Анор Лондо,Целебные травы,2217-06-12,5.85
Анор Лондо,Целебные травы,2217-06-13,5.85
Анор Лондо,Целебные травы,2217-06-14,5.5
Анор Лондо,Целебные травы,2217-06-15,7.19
Анор Лондо,Целебные травы,2217-06-16,6.54
Анор Лондо,Целебные травы,2217-06-17,5.83
Анор Лондо,Целебные травы,2217-06-18,6.76
Анор Лондо,Целебные травы,2217-06-19,5.88
Анор Лондо,Целебные травы,2217-06-20,5.88
Анор Лондо,Целебные травы,2217-06-21,5.73
